date, pm25
2023/6/23, 81
2023/6/24, 135
2023/6/25, 135
2023/1/2, 46
2023/1/3, 34
2023/1/4, 45
2023/1/5, 48
2023/1/6, 33
2023/1/7, 38
2023/1/8, 38
2023/1/9, 43
2023/1/10, 50
2023/1/11, 42
2023/1/12, 45
2023/1/13, 49
2023/1/14, 53
2023/1/15, 59
2023/1/16, 67
2023/1/17, 66
2023/1/18, 40
2023/1/19, 61
2023/1/20, 47
2023/1/21, 51
2023/1/22, 50
2023/1/23, 105
2023/1/24, 60
2023/1/25, 62
2023/1/26, 47
2023/1/27, 42
2023/1/28, 51
2023/1/29, 55
2023/1/30, 65
2023/1/31, 51
2023/2/1, 48
2023/2/2, 56
2023/2/3, 40
2023/2/4, 87
2023/2/5, 60
2023/2/6, 46
2023/2/7, 49
2023/2/8, 47
2023/2/9, 52
2023/2/10, 51
2023/2/11, 50
2023/2/12, 42
2023/2/13, 25
2023/2/14, 26
2023/2/15, 28
2023/2/16, 41
2023/2/17, 48
2023/2/18, 38
2023/2/19, 49
2023/2/20, 48
2023/2/21, 48
2023/2/22, 46
2023/2/23, 30
2023/2/24, 65
2023/2/25, 59
2023/2/27, 22
2023/2/28, 50
2023/3/1, 35
2023/3/2, 46
2023/3/3, 45
2023/3/4, 50
2023/3/5, 50
2023/3/6, 38
2023/3/7, 39
2023/3/8, 57
2023/3/9, 46
2023/3/10, 45
2023/3/11, 42
2023/3/12, 48
2023/3/13, 62
2023/3/14, 64
2023/3/15, 68
2023/3/16, 89
2023/3/17, 84
2023/3/18, 92
2023/3/19, 93
2023/3/20, 62
2023/3/21, 78
2023/3/22, 76
2023/3/23, 87
2023/3/24, 79
2023/3/25, 81
2023/3/26, 74
2023/3/27, 64
2023/3/28, 66
2023/3/29, 65
2023/3/30, 51
2023/3/31, 65
2022/10/1, 69
2022/10/2, 52
2022/10/3, 42
2022/10/4, 46
2022/10/5, 56
2022/10/6, 23
2022/10/7, 29
2022/10/8, 42
2022/10/9, 44
2022/10/10, 68
2022/10/11, 44
2022/10/12, 50
2022/10/13, 24
2022/10/14, 31
2022/10/15, 21
2022/10/16, 36
2022/10/17, 24
2022/10/18, 32
2022/10/19, 49
2022/10/20, 63
2022/10/21, 30
2022/10/22, 50
2022/10/23, 63
2022/10/24, 33
2022/10/25, 35
2022/10/26, 28
2022/10/27, 25
2022/10/28, 43
2022/10/29, 52
2022/10/30, 30
2022/10/31, 42
2022/11/1, 68
2022/11/2, 53
2022/11/3, 69
2022/11/4, 65
2022/11/5, 63
2022/11/6, 57
2022/11/7, 79
2022/11/8, 63
2022/11/9, 71
2022/11/10, 71
2022/11/11, 67
2022/11/12, 63
2022/11/13, 60
2022/11/14, 53
2022/11/15, 74
2022/11/16, 74
2022/11/17, 70
2022/11/18, 50
2022/11/19, 72
2022/11/20, 70
2022/11/21, 66
2022/11/22, 50
2022/11/23, 52
2022/11/24, 49
2022/11/25, 39
2022/11/27, 44
2022/11/28, 57
2022/11/29, 54
2022/11/30, 31
2022/12/1, 40
2022/12/2, 58
2022/12/3, 46
2022/12/4, 60
2022/12/5, 64
2022/12/6, 53
2022/12/7, 68
2022/12/8, 73
2022/12/9, 47
2022/12/10, 44
2022/12/11, 72
2022/12/12, 52
2022/12/13, 95
2022/12/14, 89
2022/12/15, 63
2022/12/16, 47
2022/12/17, 39
2022/12/18, 45
2022/12/19, 52
2022/12/20, 38
2022/12/21, 43
2022/12/22, 48
2022/12/23, 44
2022/12/24, 53
2022/12/25, 55
2022/12/26, 56
2022/12/27, 49
2022/12/28, 56
2022/12/29, 45
2022/12/30, 52
2022/12/31, 25
2023/1/1, 40
2022/7/1, 77
2022/7/2, 80
2022/7/3, 44
2022/7/4, 54
2022/7/5, 86
2022/7/6, 57
2022/7/7, 57
2022/7/8, 30
2022/7/11, 81
2022/7/12, 83
2022/7/13, 77
2022/7/14, 89
2022/7/15, 70
2022/7/16, 79
2022/7/17, 51
2022/7/18, 69
2022/7/19, 78
2022/7/20, 101
2022/7/21, 71
2022/7/22, 61
2022/7/23, 77
2022/7/24, 35
2022/7/25, 65
2022/7/26, 99
2022/7/27, 106
2022/7/28, 101
2022/7/29, 89
2022/7/30, 91
2022/7/31, 95
2022/8/1, 96
2022/8/2, 118
2022/8/3, 89
2022/8/4, 52
2022/8/10, 60
2022/8/11, 73
2022/8/12, 68
2022/8/13, 75
2022/8/14, 64
2022/8/15, 81
2022/8/16, 85
2022/8/17, 49
2022/8/18, 57
2022/8/19, 65
2022/8/20, 71
2022/8/21, 83
2022/8/22, 74
2022/8/23, 81
2022/8/24, 89
2022/8/25, 65
2022/8/26, 87
2022/8/27, 44
2022/8/28, 50
2022/8/29, 66
2022/8/30, 39
2022/8/31, 69
2022/9/1, 77
2022/9/2, 84
2022/9/3, 71
2022/9/4, 59
2022/9/5, 103
2022/9/6, 108
2022/9/7, 78
2022/9/8, 65
2022/9/9, 61
2022/9/11, 48
2022/9/12, 54
2022/9/13, 71
2022/9/14, 52
2022/9/15, 41
2022/9/16, 73
2022/9/17, 88
2022/9/18, 83
2022/9/19, 56
2022/9/20, 26
2022/9/21, 69
2022/9/22, 38
2022/9/23, 54
2022/9/24, 61
2022/9/25, 42
2022/9/26, 27
2022/9/27, 45
2022/9/28, 55
2022/9/29, 72
2022/9/30, 72
2022/4/1, 84
2022/4/2, 48
2022/4/3, 38
2022/4/4, 31
2022/4/5, 39
2022/4/6, 38
2022/4/7, 36
2022/4/8, 46
2022/4/9, 50
2022/4/10, 85
2022/4/11, 68
2022/4/12, 76
2022/4/13, 89
2022/4/14, 86
2022/4/15, 76
2022/4/16, 79
2022/4/17, 66
2022/4/18, 66
2022/4/19, 58
2022/4/20, 42
2022/4/21, 39
2022/4/22, 39
2022/4/23, 71
2022/4/24, 53
2022/4/25, 66
2022/4/26, 67
2022/4/27, 84
2022/4/28, 76
2022/4/29, 45
2022/4/30, 33
2022/5/1, 41
2022/5/2, 59
2022/5/3, 45
2022/5/4, 51
2022/5/5, 58
2022/5/6, 71
2022/5/7, 77
2022/5/8, 77
2022/5/9, 47
2022/5/10, 76
2022/5/11, 69
2022/5/12, 92
2022/5/13, 63
2022/5/14, 46
2022/5/15, 39
2022/5/16, 41
2022/5/17, 87
2022/5/18, 72
2022/5/19, 47
2022/5/20, 55
2022/5/21, 43
2022/5/22, 59
2022/5/23, 60
2022/5/24, 60
2022/5/25, 66
2022/5/26, 64
2022/5/27, 78
2022/5/28, 67
2022/5/29, 79
2022/5/30, 62
2022/5/31, 79
2022/6/1, 87
2022/6/2, 46
2022/6/3, 52
2022/6/4, 70
2022/6/5, 66
2022/6/6, 73
2022/6/7, 85
2022/6/8, 64
2022/6/9, 83
2022/6/10, 65
2022/6/11, 64
2022/6/14, 91
2022/6/15, 69
2022/6/16, 60
2022/6/17, 50
2022/6/18, 61
2022/6/19, 71
2022/6/20, 67
2022/6/21, 83
2022/6/22, 90
2022/6/23, 67
2022/6/24, 60
2022/6/25, 68
2022/6/26, 72
2022/6/27, 42
2022/6/28, 38
2022/6/29, 55
2022/6/30, 52
2022/1/3, 35
2022/1/4, 43
2022/1/5, 47
2022/1/6, 68
2022/1/7, 50
2022/1/8, 63
2022/1/9, 47
2022/1/10, 43
2022/1/11, 47
2022/1/12, 43
2022/1/17, 42
2022/1/18, 42
2022/1/19, 43
2022/1/20, 39
2022/1/21, 26
2022/1/22, 37
2022/1/23, 35
2022/1/24, 45
2022/1/25, 67
2022/1/26, 68
2022/1/27, 58
2022/1/28, 63
2022/1/29, 81
2022/1/30, 53
2022/1/31, 59
2022/2/1, 67
2022/2/2, 54
2022/2/3, 68
2022/2/4, 55
2022/2/5, 51
2022/2/6, 52
2022/2/7, 33
2022/2/8, 44
2022/2/9, 30
2022/2/10, 65
2022/2/11, 50
2022/2/12, 59
2022/2/13, 48
2022/2/14, 58
2022/2/15, 33
2022/2/16, 40
2022/2/17, 41
2022/2/18, 30
2022/2/19, 25
2022/2/20, 76
2022/2/21, 55
2022/2/22, 46
2022/2/23, 46
2022/2/24, 43
2022/2/25, 53
2022/2/26, 46
2022/2/27, 65
2022/2/28, 58
2022/3/1, 93
2022/3/2, 59
2022/3/3, 51
2022/3/4, 32
2022/3/5, 37
2022/3/6, 42
2022/3/7, 50
2022/3/8, 47
2022/3/9, 35
2022/3/10, 26
2022/3/11, 57
2022/3/12, 80
2022/3/13, 56
2022/3/14, 52
2022/3/15, 39
2022/3/16, 53
2022/3/17, 61
2022/3/18, 48
2022/3/19, 45
2022/3/20, 51
2022/3/21, 75
2022/3/22, 56
2022/3/23, 66
2022/3/24, 81
2022/3/25, 71
2022/3/26, 91
2022/3/27, 73
2022/3/28, 66
2022/3/29, 61
2022/3/30, 85
2022/3/31, 96
2021/12/28, 44
2021/12/29, 29
2021/12/30, 44
2021/12/31, 49
2022/1/1, 54
2022/1/2, 32
